hg19	hg38	Liver	Lungs	Colon	SmallIntestines	Pancreas	AdrenalGlands	Esophagus	AdiposeTissues	Heart	Brain	T-cells	B-cells	Neutrophils	Placenta	Minimum	Maximum	Mean	S.D.	C.V.	Placenta-informative
chr1:2885063-2885563	chr1:2968498-2968998	29.3	31.6	11.0	35.0	20.0	48.0	37.2	52.4	41.6	16.7	70.1	72.2	54.1	39.9	11.0	72.2	39.9	19.1	0.5	N
chr1:2995273-2995773	chr1:3078709-3079209	74.9	41.6	89.9	85.4	71.4	73.0	71.8	45.1	66.3	57.0	49.5	43.6	17.5	51.0	17.5	89.9	60.5	20.4	0.3	N
chr1:3056542-3057042	chr1:3139978-3140478	56.8	66.1	71.8	60.9	44.3	30.3	50.2	61.8	54.0	25.6	89.5	92.5	94.8	45.8	25.6	94.8	61.4	21.9	0.4	N
chr1:3105041-3105541	chr1:3188477-3188977	70.3	57.7	86.4	81.8	22.2	85.7	54.2	71.8	67.3	76.6	46.2	54.5	46.8	65.1	22.2	86.4	63.2	18.6	0.3	N
chr1:3239416-3239916	chr1:3322852-3323352	55.5	54.9	16.0	54.2	45.4	72.8	66.4	59.2	57.7	60.5	72.2	68.6	74.5	61.0	16.0	74.5	58.3	15.4	0.3	N
chr1:3566946-3567446	chr1:3650382-3650882	17.8	12.9	18.6	10.9	17.1	15.3	25.7	14.2	12.5	5.7	20.3	9.4	5.3	57.7	5.3	25.7	14.3	5.8	0.4	Y
chr1:3649295-3649795	chr1:3732731-3733231	65.9	42.1	24.1	28.5	38.7	42.0	63.7	44.1	31.7	56.6	45.9	59.4	45.7	23.7	24.1	65.9	45.3	13.1	0.3	N
chr1:3662964-3663464	chr1:3746400-3746900	30.5	30.6	61.0	23.7	14.0	24.7	17.5	29.1	18.4	16.4	58.3	28.8	33.2	24.5	14.0	61.0	29.7	14.6	0.5	N
chr1:3774688-3775188	chr1:3858124-3858624	51.2	54.1	51.7	54.7	30.1	62.5	59.4	62.2	68.6	32.3	83.3	72.4	80.3	65.1	30.1	83.3	58.7	15.9	0.3	N
chr1:4718490-4718990	chr1:4658430-4658930	34.6	12.0	22.4	31.0	9.5	38.8	48.3	11.0	20.1	14.2	34.7	43.4	32.7	57.9	9.5	48.3	27.1	13.1	0.5	N
chr1:6086245-6086745	chr1:6026185-6026685	31.7	17.6	15.3	22.9	18.4	48.0	19.6	29.6	21.0	71.2	0.1	0.9	0.8	24.4	0.1	71.2	22.9	19.8	0.9	N
chr1:6187744-6188244	chr1:6127684-6128184	38.7	22.4	12.7	22.6	14.0	16.7	19.0	18.4	17.1	20.9	31.5	22.8	28.3	7.7	12.7	38.7	21.9	7.3	0.3	N
chr1:6264826-6265326	chr1:6204766-6205266	39.2	27.7	60.2	36.3	51.1	27.6	37.3	14.8	3.6	33.2	40.8	35.0	30.5	24.2	3.6	60.2	33.6	14.3	0.4	N
chr1:6294529-6295029	chr1:6234469-6234969	78.9	66.5	65.4	47.5	34.0	43.0	42.8	76.8	37.7	53.2	79.2	83.5	83.1	32.0	34.0	83.5	60.9	18.5	0.3	N
chr1:6478558-6479058	chr1:6418498-6418998	12.9	21.1	6.9	15.0	11.4	25.0	15.4	22.5	22.7	17.1	28.0	22.6	22.9	8.1	6.9	28.0	18.7	6.1	0.3	N
chr1:6514208-6514708	chr1:6454148-6454648	47.9	9.9	77.2	37.5	27.0	7.2	15.3	9.0	10.5	13.7	13.7	14.5	9.4	11.4	7.2	77.2	22.5	20.5	0.9	N
chr1:6525997-6526497	chr1:6465937-6466437	34.6	28.6	56.4	23.7	39.2	35.7	62.2	25.8	43.7	59.5	0.2	6.3	6.9	25.5	0.2	62.2	32.5	20.2	0.6	N
chr1:6639428-6639928	chr1:6579368-6579868	27.2	28.8	27.2	31.0	21.0	28.2	20.7	26.1	26.6	21.3	40.8	36.0	48.9	25.1	20.7	48.9	29.5	8.2	0.3	N
chr1:7022002-7022502	chr1:6961942-6962442	37.4	23.8	31.8	20.2	20.8	44.1	26.1	16.7	12.5	58.8	20.4	13.0	2.9	3.6	2.9	58.8	25.3	14.8	0.6	N
chr1:7765594-7766094	chr1:7705534-7706034	22.5	7.7	4.9	11.5	6.7	19.1	9.2	22.3	14.0	3.0	15.2	27.4	16.5	15.3	3.0	27.4	13.8	7.5	0.5	N
chr1:7841961-7842461	chr1:7781901-7782401	59.3	50.2	55.3	56.9	87.3	87.1	71.4	55.9	87.3	79.2	44.1	46.7	17.0	18.1	17.0	87.3	61.3	20.7	0.3	N
chr1:8086555-8087055	chr1:8026495-8026995	6.7	10.3	8.1	11.1	11.1	19.5	15.4	16.1	9.8	2.7	16.9	13.6	29.3	1.4	2.7	29.3	13.1	6.7	0.5	N
chr1:8271997-8272497	chr1:8211937-8212437	45.2	21.5	82.5	63.2	76.2	76.4	40.0	44.4	71.1	73.8	25.5	34.7	0.6	2.4	0.6	82.5	50.4	25.6	0.5	N
chr1:8378285-8378785	chr1:8318225-8318725	22.4	12.2	7.2	4.0	17.2	23.6	6.5	12.5	6.1	2.0	5.9	0.7	3.1	21.9	0.7	23.6	9.5	7.5	0.8	N
chr1:8403698-8404198	chr1:8343638-8344138	77.5	44.1	51.7	59.2	44.0	32.8	37.5	77.8	66.5	83.9	85.1	87.8	92.8	33.3	32.8	92.8	64.7	20.9	0.3	N
chr1:8937099-8937599	chr1:8877040-8877540	40.3	24.6	45.3	18.0	57.7	37.3	21.0	22.8	37.6	21.0	7.2	17.5	11.9	21.7	7.2	57.7	27.9	14.6	0.5	N
chr1:9099281-9099781	chr1:9039222-9039722	65.5	64.6	61.3	81.9	41.2	44.9	73.1	52.1	51.9	72.7	90.3	94.7	92.3	15.1	41.2	94.7	68.2	18.0	0.3	N
chr1:9243168-9243668	chr1:9183109-9183609	55.2	8.9	41.7	10.1	33.1	11.2	16.5	9.6	9.0	1.8	10.2	8.8	7.7	27.3	1.8	55.2	17.2	15.9	0.9	N
chr1:9686626-9687126	chr1:9626568-9627068	47.4	46.1	45.4	53.6	44.6	51.3	43.9	45.4	59.0	57.7	7.4	10.4	20.3	17.5	7.4	59.0	41.0	17.0	0.4	N
chr1:9714281-9714781	chr1:9654223-9654723	67.4	56.4	70.5	64.7	69.3	65.3	81.4	51.5	79.3	77.1	5.9	2.5	0.7	51.5	0.7	81.4	53.2	29.8	0.6	N
chr1:9747796-9748296	chr1:9687738-9688238	8.0	8.5	4.2	8.3	3.6	6.8	6.8	27.2	2.3	4.0	27.1	7.9	20.2	2.6	2.3	27.2	10.4	8.6	0.8	N
chr1:9884512-9885012	chr1:9824454-9824954	13.4	12.1	4.8	7.3	4.4	10.6	8.5	13.0	7.3	4.5	27.5	13.1	15.0	1.9	4.4	27.5	10.9	6.2	0.6	N
chr1:10002166-10002666	chr1:9942108-9942608	27.8	37.8	23.7	28.7	27.4	44.3	35.4	38.0	38.5	21.3	23.6	18.3	42.9	26.1	18.3	44.3	31.4	8.6	0.3	N
chr1:10698300-10698800	chr1:10638243-10638743	61.8	54.2	74.7	43.1	81.8	42.8	38.7	32.6	58.7	34.4	33.9	28.8	10.5	37.6	10.5	81.8	45.8	19.7	0.4	N
chr1:11071820-11072320	chr1:11011763-11012263	42.5	30.4	53.8	37.7	31.2	36.3	35.5	44.6	38.0	18.7	44.3	19.0	18.8	18.8	18.7	53.8	34.7	10.9	0.3	N
chr1:11159888-11160388	chr1:11099831-11100331	7.1	12.9	3.0	14.2	4.4	23.6	13.1	14.2	18.1	9.9	17.1	15.9	16.8	3.0	3.0	23.6	13.1	5.8	0.4	N
chr1:11540170-11540670	chr1:11480113-11480613	35.8	25.3	37.1	29.5	25.9	23.5	28.8	18.1	28.0	7.1	25.1	39.1	25.9	10.2	7.1	39.1	26.9	8.3	0.3	N
chr1:11710268-11710768	chr1:11650211-11650711	1.9	5.4	4.2	22.2	2.2	18.9	37.6	4.4	6.4	11.8	7.4	3.7	3.5	2.0	1.9	37.6	10.0	10.4	1.0	N
chr1:11740329-11740829	chr1:11680272-11680772	29.3	20.7	25.6	13.0	21.3	28.1	11.5	28.0	27.8	15.9	24.6	34.8	23.8	8.8	11.5	34.8	23.4	6.8	0.3	N
chr1:12227377-12227877	chr1:12167320-12167820	2.9	5.9	24.1	6.9	7.6	20.8	12.8	9.3	9.6	16.0	0.5	0.0	1.9	16.4	0.0	24.1	9.1	7.6	0.8	N
chr1:12600348-12600848	chr1:12540322-12540822	41.3	40.1	81.1	55.9	63.6	69.8	62.2	55.1	43.8	27.7	77.0	85.1	73.4	12.0	27.7	85.1	59.7	17.7	0.3	N
chr1:12654927-12655427	chr1:12594914-12595414	9.6	32.2	4.5	14.2	57.4	33.3	11.5	16.1	31.5	18.8	26.8	18.8	6.0	65.4	4.5	57.4	21.6	14.6	0.7	Y
chr1:14027482-14027982	chr1:13700987-13701487	69.0	39.2	77.4	40.3	77.3	53.8	35.9	56.9	69.0	14.6	22.0	8.3	18.7	51.3	8.3	77.4	44.8	24.3	0.5	N
chr1:16163761-16164261	chr1:15837266-15837766	12.2	30.3	68.6	27.4	68.6	40.9	64.2	25.2	44.7	47.0	52.5	6.2	1.4	62.9	1.4	68.6	37.6	22.8	0.6	N
chr1:16480985-16481485	chr1:16154490-16154990	3.9	12.2	12.7	15.2	17.0	19.1	12.0	6.3	11.4	34.8	15.4	11.8	7.4	6.7	3.9	34.8	13.8	7.6	0.6	N
chr1:16533918-16534418	chr1:16207423-16207923	68.6	39.3	71.1	45.6	64.0	14.8	30.0	35.2	28.8	48.1	44.7	31.1	44.2	20.6	14.8	71.1	43.5	16.6	0.4	N
chr1:16554327-16554827	chr1:16227832-16228332	54.2	16.0	72.1	26.2	71.6	50.5	48.5	19.5	31.7	42.8	13.5	13.9	5.6	43.5	5.6	72.1	35.8	22.4	0.6	N
chr1:16679075-16679575	chr1:16352580-16353080	8.0	19.9	5.8	20.4	11.1	29.0	16.1	23.5	21.5	9.6	12.5	10.4	6.1	3.6	5.8	29.0	14.9	7.4	0.5	N
chr1:16847281-16847781	chr1:16520786-16521286	25.1	24.6	24.9	14.7	33.6	32.4	21.6	16.3	9.1	29.0	25.9	36.8	27.7	50.3	9.1	36.8	24.8	7.8	0.3	Y
chr1:16974356-16974856	chr1:16647861-16648361	52.8	5.2	24.1	5.7	10.8	30.5	9.1	9.0	4.7	17.9	11.0	15.3	9.5	22.0	4.7	52.8	15.8	13.5	0.9	N
chr1:17186112-17186612	chr1:16859617-16860117	52.2	45.0	79.3	42.5	65.4	64.0	39.3	38.2	25.4	41.0	76.7	68.6	67.7	47.1	25.4	79.3	54.3	17.0	0.3	N
chr1:17198562-17199062	chr1:16872067-16872567	62.6	44.2	63.3	47.5	68.8	57.2	37.2	46.5	25.1	56.1	78.8	38.8	50.2	33.2	25.1	78.8	52.0	14.5	0.3	N
chr1:17215422-17215922	chr1:16888927-16889427	6.4	3.0	6.9	24.3	2.1	18.0	6.1	3.4	3.9	3.5	6.0	8.1	4.1	0.3	2.1	24.3	7.4	6.5	0.9	N
chr1:17240039-17240539	chr1:16913544-16914044	11.4	14.0	6.6	11.8	15.3	20.2	13.0	27.4	11.4	6.5	13.1	8.5	11.1	5.4	6.5	27.4	13.1	5.6	0.4	N
chr1:17287291-17287791	chr1:16960796-16961296	4.8	4.2	2.9	1.5	2.2	4.9	26.8	3.5	32.4	4.0	3.2	4.9	0.6	7.7	0.6	32.4	7.4	10.0	1.4	N
chr1:17475703-17476203	chr1:17149208-17149708	33.6	24.2	50.3	25.5	21.5	25.0	20.6	27.4	18.8	16.6	54.6	44.7	24.7	54.6	16.6	54.6	29.8	12.3	0.4	N
chr1:19110721-19111221	chr1:18784227-18784727	69.9	24.6	75.2	28.5	70.6	84.3	82.0	85.2	72.0	35.6	60.3	61.7	74.2	40.5	24.6	85.2	63.4	20.8	0.3	N
chr1:19971756-19972256	chr1:19645262-19645762	43.4	27.3	7.9	17.5	44.7	59.3	12.4	19.6	29.1	20.2	62.2	31.4	35.7	30.9	7.9	62.2	31.6	17.0	0.5	N
chr1:19992647-19993147	chr1:19666154-19666654	52.3	51.5	43.2	42.3	30.4	44.6	46.6	47.3	35.1	75.6	60.9	75.9	55.8	12.8	30.4	75.9	50.9	13.7	0.3	N
chr1:20669567-20670067	chr1:20343074-20343574	33.3	14.2	49.5	8.9	21.7	15.6	17.4	13.6	7.8	39.1	18.9	23.9	10.8	15.5	7.8	49.5	21.1	12.5	0.6	N
chr1:21503616-21504116	chr1:21177123-21177623	8.6	12.2	10.2	8.5	5.4	5.5	9.2	13.4	10.6	7.2	14.6	25.9	7.1	7.8	5.4	25.9	10.6	5.4	0.5	N
chr1:21767071-21767571	chr1:21440578-21441078	26.3	10.4	23.3	20.0	13.1	10.5	6.1	11.7	14.3	4.3	11.5	21.2	2.8	5.4	2.8	26.3	13.5	7.3	0.5	N
chr1:21836049-21836549	chr1:21509556-21510056	18.3	6.9	32.7	6.6	14.9	19.9	16.9	9.7	14.3	5.6	15.6	10.5	9.3	18.6	5.6	32.7	13.9	7.3	0.5	N
chr1:21949175-21949675	chr1:21622682-21623182	17.8	28.1	26.3	26.1	14.8	54.5	39.8	31.7	46.7	37.1	33.7	36.5	21.3	10.3	14.8	54.5	31.9	11.3	0.4	N
chr1:21978602-21979102	chr1:21652109-21652609	48.1	17.2	13.5	11.5	56.7	27.1	25.9	16.4	26.3	7.9	16.9	28.3	6.5	9.8	6.5	56.7	23.3	14.9	0.6	N
chr1:22668639-22669139	chr1:22342146-22342646	25.9	11.9	1.6	4.3	28.0	3.2	9.0	4.4	3.9	9.2	3.2	1.5	1.9	56.8	1.5	28.0	8.3	8.9	1.1	Y
chr1:22919774-22920274	chr1:22593281-22593781	46.0	41.8	17.6	46.4	73.4	47.2	32.6	41.1	41.0	46.4	51.8	49.7	43.6	21.6	17.6	73.4	44.5	12.3	0.3	N
chr1:23038324-23038824	chr1:22711831-22712331	49.7	33.8	6.5	23.7	37.3	45.4	28.0	39.0	30.9	37.2	30.5	23.1	41.2	21.1	6.5	49.7	32.8	11.2	0.3	N
chr1:23763155-23763655	chr1:23436662-23437162	82.8	70.9	16.9	56.8	82.1	61.3	83.9	65.4	85.0	78.1	58.8	71.5	55.7	31.4	16.9	85.0	66.9	18.5	0.3	N
chr1:23880518-23881018	chr1:23554027-23554527	49.3	28.0	21.1	27.8	40.7	42.3	37.0	37.6	31.7	43.2	33.5	35.1	17.7	47.3	17.7	49.3	34.2	9.0	0.3	N
chr1:24127800-24128300	chr1:23801310-23801810	12.6	24.3	7.5	18.1	5.5	25.2	13.9	32.1	22.0	26.7	54.1	39.7	27.1	5.8	5.5	54.1	23.8	13.3	0.6	N
chr1:24284786-24285286	chr1:23958296-23958796	69.8	32.4	19.9	44.4	39.4	61.6	53.3	46.0	60.1	69.2	35.2	22.4	27.7	62.5	19.9	69.8	44.7	17.1	0.4	N
chr1:24648203-24648703	chr1:24321713-24322213	5.7	15.4	15.6	13.2	24.7	18.0	10.4	18.6	25.5	19.7	0.9	4.4	2.6	2.8	0.9	25.5	13.4	8.1	0.6	N
chr1:24742858-24743358	chr1:24416368-24416868	15.2	12.4	8.8	11.7	5.9	18.6	11.9	22.9	22.7	16.1	2.0	17.6	17.4	14.9	2.0	22.9	14.1	6.2	0.4	N
chr1:25073353-25073853	chr1:24746862-24747362	42.5	38.1	83.4	59.5	42.4	71.4	44.8	45.8	26.0	29.0	93.7	31.0	74.0	10.9	26.0	93.7	52.4	21.9	0.4	N
chr1:25258528-25259028	chr1:24932037-24932537	7.1	11.3	5.2	7.3	4.2	5.5	8.7	16.0	4.0	3.7	25.9	11.6	16.4	2.7	3.7	25.9	9.8	6.5	0.7	N
chr1:25944162-25944662	chr1:25617671-25618171	28.9	2.9	1.0	1.9	20.0	10.0	2.1	2.3	0.9	2.1	1.5	1.9	1.1	1.3	0.9	28.9	5.9	8.8	1.5	N
chr1:26097905-26098405	chr1:25771414-25771914	49.5	45.5	31.6	39.9	12.7	47.8	69.4	50.2	43.8	71.2	54.3	17.7	19.7	62.9	12.7	71.2	42.6	18.2	0.4	N
chr1:26186473-26186973	chr1:25859982-25860482	58.3	62.0	53.2	63.9	76.5	70.4	71.8	39.8	76.9	77.1	56.5	31.4	29.8	57.5	29.8	77.1	59.1	16.6	0.3	N
chr1:26233451-26233951	chr1:25906960-25907460	19.0	34.7	16.3	30.4	8.0	22.3	24.3	43.0	19.8	10.6	36.8	26.7	29.1	9.1	8.0	43.0	24.7	10.2	0.4	N
chr1:26490308-26490808	chr1:26163817-26164317	9.5	24.5	9.0	15.2	18.6	22.8	25.7	23.3	34.2	15.2	18.4	24.0	16.2	11.3	9.0	34.2	19.7	7.0	0.4	N
chr1:26551518-26552018	chr1:26225027-26225527	5.6	12.4	5.4	8.4	3.3	13.2	28.6	18.1	8.2	10.3	24.4	2.9	14.9	5.7	2.9	28.6	12.0	7.9	0.7	N
chr1:26757993-26758493	chr1:26431502-26432002	36.7	17.2	27.6	14.7	21.7	22.4	18.9	21.4	19.9	17.6	25.1	15.2	13.4	6.9	13.4	36.7	20.9	6.3	0.3	N
chr1:26948345-26948845	chr1:26621854-26622354	44.3	34.7	47.9	35.8	25.4	25.6	31.5	29.9	30.6	48.7	67.0	51.1	56.9	50.0	25.4	67.0	40.7	13.0	0.3	N
chr1:27676420-27676920	chr1:27349929-27350429	22.9	36.9	19.6	31.8	43.2	18.9	24.0	37.4	10.3	6.4	93.0	66.7	69.7	12.7	6.4	93.0	37.0	25.5	0.7	N
chr1:27687278-27687778	chr1:27360787-27361287	69.9	74.9	80.6	57.3	66.2	67.9	78.6	53.7	73.2	56.7	54.0	27.1	24.8	64.2	24.8	80.6	60.4	17.7	0.3	N
chr1:27709601-27710101	chr1:27383111-27383611	28.3	26.5	7.6	17.1	14.4	19.6	14.9	33.3	27.1	14.0	30.3	31.4	20.2	7.1	7.6	33.3	21.9	8.1	0.4	N
chr1:27719393-27719893	chr1:27392889-27393389	46.0	37.9	26.6	36.8	57.4	51.7	41.3	38.9	44.9	18.5	44.0	36.6	31.9	21.6	18.5	57.4	39.4	10.2	0.3	N
chr1:27854917-27855417	chr1:27528406-27528906	8.3	13.5	3.0	16.2	3.4	6.3	14.0	7.5	6.1	6.0	47.7	31.4	18.1	4.2	3.0	47.7	14.0	12.8	0.9	N
chr1:27901661-27902161	chr1:27575150-27575650	21.0	15.0	7.5	15.0	3.2	8.0	15.6	18.8	3.4	5.5	46.8	25.9	13.1	3.4	3.2	46.8	15.3	11.7	0.8	N
chr1:28585332-28585832	chr1:28258821-28259321	5.0	6.5	5.3	7.0	2.1	5.0	4.0	2.1	3.2	3.3	17.6	25.2	9.8	17.2	2.1	25.2	7.4	6.8	0.9	N
chr1:28909070-28909570	chr1:28582558-28583058	10.3	8.6	5.5	9.5	18.6	21.9	7.4	4.9	8.6	13.3	5.1	2.6	0.6	12.0	0.6	21.9	9.0	6.0	0.7	N
chr1:29101791-29102291	chr1:28775279-28775779	24.7	21.5	4.3	17.3	4.9	10.1	10.7	17.5	21.5	11.4	14.3	29.0	17.2	14.8	4.3	29.0	15.7	7.4	0.5	N
chr1:29139002-29139502	chr1:28812490-28812990	10.6	9.3	12.2	8.2	4.5	8.7	13.1	9.3	7.8	6.8	13.4	28.5	11.0	3.3	4.5	28.5	11.0	5.8	0.5	N
chr1:29449200-29449700	chr1:29122688-29123188	16.2	8.6	2.8	5.8	26.8	25.3	5.8	4.9	11.1	21.1	6.5	6.6	4.7	15.8	2.8	26.8	11.3	8.3	0.7	N
chr1:31190473-31190973	chr1:30717626-30718126	63.9	45.6	37.2	35.2	32.9	29.2	22.5	45.4	44.2	14.4	35.1	32.4	36.9	10.4	14.4	63.9	36.5	12.0	0.3	N
chr1:31280122-31280622	chr1:30807275-30807775	47.8	28.7	6.7	19.5	22.7	6.9	13.0	17.6	10.7	28.4	39.0	27.8	31.5	20.2	6.7	47.8	23.1	12.4	0.5	N
chr1:32230147-32230647	chr1:31764546-31765046	18.1	18.6	10.2	14.7	18.4	15.7	17.7	11.2	13.5	5.0	25.2	15.0	13.2	11.5	5.0	25.2	15.1	4.9	0.3	N
chr1:32237328-32237828	chr1:31771727-31772227	36.1	12.2	14.9	13.0	24.1	15.1	12.4	15.3	24.3	6.3	6.2	8.6	5.3	65.0	5.3	36.1	14.9	8.8	0.6	Y
chr1:32410189-32410689	chr1:31944588-31945088	26.1	2.1	0.8	1.5	41.7	26.7	4.6	1.6	4.3	13.2	3.9	3.1	1.4	5.0	0.8	41.7	10.1	13.1	1.3	N
chr1:32574562-32575062	chr1:32108961-32109461	20.7	28.1	7.0	28.8	17.1	22.0	24.7	38.4	35.8	29.0	22.9	26.7	50.4	7.7	7.0	50.4	27.0	10.6	0.4	N
chr1:32705525-32706025	chr1:32239924-32240424	59.8	42.3	29.3	33.3	9.4	30.4	28.6	56.8	38.5	16.5	56.3	62.0	66.5	40.0	9.4	66.5	40.7	18.2	0.4	N
chr1:32741211-32741711	chr1:32275610-32276110	48.2	55.4	48.6	47.4	32.7	40.6	42.5	41.4	38.9	48.6	77.6	71.3	35.6	16.0	32.7	77.6	48.4	13.1	0.3	N
chr1:32801860-32802360	chr1:32336259-32336759	26.0	12.1	7.8	11.0	29.2	15.8	12.6	10.9	7.6	7.0	19.0	6.9	4.2	3.8	4.2	29.2	13.1	7.6	0.6	N
chr1:33547525-33548025	chr1:33081924-33082424	68.0	26.6	8.6	16.7	29.4	43.6	11.2	27.6	33.3	13.8	42.9	44.8	20.2	6.4	8.6	68.0	29.8	16.8	0.6	N
chr1:33626760-33627260	chr1:33161159-33161659	69.6	34.7	81.1	46.7	78.1	43.6	56.4	20.2	29.2	6.5	72.9	49.6	17.7	68.5	6.5	81.1	46.6	24.3	0.5	N
chr1:34642383-34642883	chr1:34176782-34177282	16.2	10.3	37.1	10.4	5.9	8.6	12.6	10.9	5.5	8.9	19.3	37.8	11.0	27.4	5.5	37.8	15.0	10.6	0.7	N
