target	hg19	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Lung-Ep-Alveo	chr2:85885695-85886437	U	0.004	0	0	0	0.004	0	0.001	0	0	0	0	0	0	0.001	0.015	0.057	0	0	0.001	0.001	0	0	0	0	0.854	0.004	0	0.004	0	0.007	0	0	0	0	0	0	0	0	0.003	0
Smooth-Musc	chr2:90376729-90377859	U	0	0	0	0	0	0	0.015	0	0	0	0	0.025	0	0.101	0	0.227	0	0	0.058	0.091	0	0.233	0	0.167	0.222	0.2	0.074	0	0	0.25	0.05	0.125	0	NA	NA	0	0	0	0.5	0
Megakaryocytes	chr2:97149180-97149545	U	0.157	0	0	0	0.004	0	0	0	0.01	0	0	0.048	0	0.129	0	0.032	0	0	0	0.003	0	0.004	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0.88	0	0.016	0	0	0.005
Pancreas-Duct	chr2:97169667-97170013	U	0	0	0	0	0.004	0	0	0	0.015	0.045	0	0	0	0.002	0	0.031	0	0.077	0	0.01	0	0.026	0.22	0	0	0.297	0	0	0	0.033	0	0	0.021	0.989	0	0.012	0.042	0.01	0.051	0.016
Pancreas-Duct	chr2:97170092-97170610	U	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0	0.007	0	0	0.002	0.008	0	0	0.033	0	0	0.014	0.002	0	0	0.016	0	0	0.01	0.781	0	0	0	0	0.011	0.01
Gastric-Ep	chr2:98376000-98376235	U	0	0	0	0	0.004	0.018	0.073	0	0	0	0	0	0	0	0	0.123	0	0.143	0.973	0.004	0	0.014	0.006	0	0	0	0.005	0	0.025	0	0	0	0	0	0.286	0	0	0	0.019	0
Kidney-Ep	chr2:99302337-99302637	U	0	0	0	0	0	0	0	0.182	0	0	0	0	0	0.011	0	0.182	0	0	0	0	0	0.152	0.916	0.017	0	0	0.045	0	0.026	0	0	0	0	0	0	0	0	0	0.105	0
Dermal-Fibro	chr2:99690665-99690794	U	0.358	0.018	0	0	0	0	0	0	0	0	0	0	0.767	0.062	0	0.075	0	0	0	0.003	0.037	0.011	0	0	0	0.011	0.072	0.01	0	0	0	0	0	0	0	0.009	0.018	0	0.03	0
Gastric-Ep	chr2:103095409-103095902	U	0.007	0	0.074	0	0.018	0.005	0.012	0	0	0	0.002	0.058	0.013	0.008	0.011	0.069	0	0	0.993	0.004	0	0.008	0.027	0	0	0	0	0	0	0.01	0.004	0.005	0	0	0	0	0	0	0.011	0
Pancreas-Duct	chr2:106552192-106553483	U	0	0	0	NA	0	0	0	NA	0	NA	NA	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	NA	NA	NA	0	0	0	0
