target	hg38	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Smooth-Musc	chr1:22191440-22192157	U	0.333	0	0	0	0.069	0	0.125	0	0.059	0	0	0	0.667	0.151	0	0	0	0	0	0	0.167	0.545	0	0.333	0	0	0.062	0	0	0.071	0	0	0	0	NA	0	0	0	0.444	0
Megakaryocytes	chr1:26295324-26295681	U	0	0.004	0	0.058	0.034	0	0	0	0	0	0	0	0.019	0.002	0	0.095	0	0	0.001	0.001	0	0.005	0	0	0.007	0	0	0	0	0.004	0	0	0	0	0.8	0	0.018	0	0	0
Eryth-prog	chr1:31345754-31346768	U	0.012	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0.992	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.028	0
Blood-T	chr1:32252846-32253137	U	0.03	0	0.096	0	0.034	0.214	0.99	0	0	0	0.02	0.109	0	0.007	0	0.24	0	0	0.012	0.007	0	0.028	0	0.007	0.012	0	0	0	0.024	0.039	0	0.016	0	0.012	0	0.009	0	0.02	0.05	0.016
Blood-T	chr1:32254316-32255187	U	0.019	0.01	0.064	0.01	0.041	0.167	0.864	0.014	0	0	0.007	0.05	0	0.004	0.034	0.102	0	0	0.001	0.014	0.008	0.004	0	0.008	0	0	0	0.005	0.005	0.008	0.005	0	0.014	0.005	0	0	0.014	0.003	0.003	0.005
Breast-Luminal-Ep	chr1:32798151-32798792	U	0	0.016	0	0	0.001	0.029	0.014	0	0.063	0.663	0	0	0	0.001	0.013	0.033	0	0	0	0.036	0	0.009	0	0	0.003	0	0.002	0	0	0	0	0	0	0	0	0.012	0	0	0.003	0
Bladder-Ep	chr1:33539006-33539129	U	0.007	0.946	0.005	0	0.005	0	0.007	0	0.007	0	0.048	0.009	0.024	0.002	0	0.146	0	0	0.023	0	0	0.012	0.002	0.003	0	0	0.004	0	0.011	0.011	0.008	0.008	0	0	0	0.225	0	0.062	0.005	0
Pancreas-Duct	chr1:39435714-39436468	U	0	0	0	0	0.009	0	0.002	0	0.022	0	0.005	0	0	0.004	0	0.037	0	0.062	0	0.015	0.086	0	0.043	0	0.016	0.028	0	0	0	0.05	0.03	0.161	0.09	0.58	0	0.022	0	0	0	0
Blood-NK	chr1:41896637-41896810	U	0	0	0.025	0	0.002	0.803	0.012	0	0.008	0.01	0	0	0	0	0	0.062	0.01	0	0	0.002	0.008	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.029	0	0	0.01
Gallbladder	chr1:43764408-43764616	U	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.003	0	0	0	1	0.013	0	0	0	0	0	0	0	0	0	0	0.021	0.016	0	0	0	0	0	0	0.01	0.01	0
Pancreas-Duct	chr1:46483695-46483758	U	0.045	0	0	0	0.002	0	0.001	0.047	0	0.009	0.003	0	0.069	0.055	0	0.092	0.033	0	0	0	0	0.074	0.012	0	0	0	0	0	0	0.118	0.114	0.083	0.01	0.957	0	0	0.041	0	0.073	0
Gastric-Ep	chr1:54339634-54339950	U	0	0.004	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0.028	0	0	0.913	0.002	0.004	0	0	0	0.021	0	0.002	0	0	0	0	0	0	0.04	0	0.005	0.017	0	0.012	0
Head-Neck-Ep	chr1:54630392-54630649	U	0.005	0.103	0.079	0	0.021	0.015	0.039	0	0.054	0.119	0.013	0.157	0	0.017	0.143	0.197	0	0	0	0.93	0.004	0.032	0.002	0	0.014	0.298	0.002	0.005	0.107	0.004	0.013	0	0	0	0	0.089	0	0.06	0.033	0
Skeletal-Musc	chr1:55201331-55201558	U	0	0.011	0	0.007	0.002	0.008	0.018	0	0	0	0	0	0	0.001	0	0.033	0.129	0	0	0	0	0.009	0	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0.632	0	0	0
Blood-Mono+Macro	chr1:59580390-59580738	U	0.25	0	0.25	0	0.897	0	0.027	0	0	0	0	0.4	0	0.028	NA	0.667	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0
Kidney-Ep	chr1:70195694-70195888	U	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.002	0	0.027	0	0	0	0	0.01	0.01	0.78	0	0	0	0	0	0	0	0	0.008	0	0	0	0.004	0	0	0.004	0
Lung-Ep-Bron	chr1:78520528-78521211	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Epid-Kerat	chr1:84563078-84563385	U	0	0.013	0	0	0	0	0	0	0	0	0.004	0	0	0.001	0.717	0.063	0	0	0	0	0	0.009	0.004	0	0	0	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0
Ovary-Ep	chr1:90854363-90854947	U	0	0	0	0	0	0	0.013	0	0.5	0	0	0	0	0	0	0.091	0.154	0	0	0	0	0	0.143	0	0	0	0.045	0.083	1	0	0	0	0	0	0	0	0	0	0	0
Blood-B	chr1:101246726-101246956	U	0.042	0.01	0.973	0	0.021	0	0	0	0.004	0	0.006	0.241	0	0.036	0.029	0.059	0	0	0.002	0.005	0	0	0.023	0.002	0.007	0	0	0.003	0.005	0.064	0.033	0.006	0.007	0	0	0.004	0.007	0	0.012	0.034
Adipocytes	chr1:109884018-109884508	U	0.728	0	0	0	0.002	0	0.001	0.282	0.015	0.043	0	0.179	0.36	0.271	0	0.244	0	0	0.005	0.013	0	0.09	0	0	0.005	0	0.035	0.228	0.008	0.023	0.009	0	0	0.177	0	0.013	0.119	0	0.005	0
Fallopian-Ep	chr1:111418431-111419704	U	0.103	0.032	0	0	0.019	0	0.005	0	0	0	0	0.062	0.1	0.005	0	0.25	0.959	0	0.005	0	0.071	0.125	0.034	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0.082	0.015
Fallopian-Ep	chr1:111425276-111425484	U	0	0	0	0	0	0.018	0	0.15	0	0	0	0	0.053	0.029	0	0.29	0.902	0	0	0	0	0.018	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0.079	0	0.015	0.018
Fallopian-Ep	chr1:111442837-111443029	U	0.016	0	0	0.032	0.003	0.033	0.01	0	0	0	0	0	0	0	0	0.132	0.824	0	0	0.003	0	0.011	0	0	0	0.011	0	0	0.027	0	0.014	0	0.026	0	0	0	0	0	0	0
Epid-Kerat	chr1:115928744-115929135	U	0	0.015	0	0	0	0	0	0	0	0	0	0	0	0.002	0.75	0.097	0	0	0.003	0.027	0	0	0	0.021	0.007	0	0	0	0	0.009	0.027	0.011	0	0	0	0.025	0	0	0.007	0
Gastric-Ep	chr1:117071962-117072528	U	0.024	0	0	0.007	0	0	0.005	0	0	0	0.004	0	0	0.004	0	0.014	0	0	0.952	0	0	0.008	0	0.004	0	0.007	0	0.006	0	0.006	0	0	0	0.007	0	0	0	0	0	0.009
Smooth-Musc	chr1:143321469-143322362	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blood-Granul	chr1:148405394-148405820	U	0	0	0	0.959	0.065	0	0	0	0	0	0.006	0.022	0	0.003	0	0.052	0	0	0.002	0	0	0.018	0.003	0.008	0	0	0	0	0	0.012	0	0	0	0	0.25	0	0.14	0	0	0
Gastric-Ep	chr1:150841140-150841246	U	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0.006	0	0.047	0	0.091	0.935	0	0	0.089	0	0.005	0.006	0	0.003	0	0	0	0	0	0	0	0	0.007	0.018	0	0	0
Breast-Luminal-Ep	chr1:150969199-150969342	U	0.019	0	0	0	0.003	0.011	0	0	0.053	0.805	0	0.014	0	0.004	0	0.031	0	0.042	0	0.005	0	0.014	0.021	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0
Heart-Cardio	chr1:151023490-151023547	U	0.009	0	0.008	0	0.003	0	0.003	0	0	0	0.017	0.016	0	0.002	0	0.027	0.01	0	0.019	0.018	0.957	0	0.027	0.005	0.012	0	0.007	0	0	0	0.01	0.011	0	0	0	0.007	0.015	0.007	0.013	0.024
Neuron	chr1:151062393-151062653	U	0.005	0	0.008	0.011	0.008	0	0.007	0.017	0	0.006	0	0.008	0.019	0.006	0	0.057	0.007	0	0.008	0.005	0	0.014	0.007	0.007	0.022	0	0.637	0.005	0.005	0.004	0.014	0	0.021	0.02	0	0	0.009	0.011	0.007	0
Neuron	chr1:151711596-151711796	U	0.011	0	0.073	0	0.007	0	0.01	0.031	0.007	0	0	0.107	0.094	0.025	0	0.139	0.008	0	0.004	0.042	0.02	0.035	0	0.003	0	0.005	0.835	0.011	0.006	0.027	0.068	0.126	0.058	0	0	0	0.021	0	0.052	0.076
Bladder-Ep	chr1:154281610-154281704	U	0	0.866	0.017	0	0	0	0.001	0	0	0	0.004	0	0	0	0	0.043	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.027	0.008	0	0.126	0.013	0	0	0
Pancreas-Delta	chr1:156131522-156132030	U	0.02	0.011	0	0	0	0	0	0.08	0	0	0	0.175	0.05	0.019	0	0.083	0	0	0	0.028	0.037	0	0.034	0	0	0	0	0	0	0.01	0	0.269	0.96	0	0	0	0	0.012	0.012	0
Neuron	chr1:156418438-156418552	U	0	0	0	0	0	0	0.004	0	0	0	0	0.04	0	0.008	0	0.119	0	0	0	0	0	0.05	0	0	0	0	0.774	0.128	0	0	0	0	0	0	0	0	0	0	0	0
Lung-Ep-Bron	chr1:164792732-164793043	U	0.02	0.274	0.062	0.011	0.011	0.012	0.027	0.029	0.019	0.025	0	0.057	0	0.002	0.115	0.112	0	0	0.003	0.148	0	0	0	0.005	0.007	0.973	0.083	0	0.009	0.014	0	0	0	0	0	0.265	0.016	0	0	0
Blood-NK	chr1:167451940-167452576	U	0.004	0	0	0	0.003	0.581	0.045	0	0	0.005	0	0.01	0	0.003	0	0.128	0	0.037	0.002	0.004	0.003	0.004	0.002	0.006	0	0	0.002	0	0	0.003	0	0.013	0.005	0	0.059	0	0.006	0	0.006	0
Blood-NK	chr1:167501115-167501148	U	0.009	0	0	0	0.003	0.818	0.112	0	0	0	0	0.033	0	0	0	0.092	0	0	0	0	0.015	0.035	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0.014	0	0.012	0
Colon-Ep	chr1:167900862-167901279	U	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
Gallbladder	chr1:167916245-167916356	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0.017	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0.006	0
Ovary-Ep	chr1:168224931-168225287	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077	0	0	0	0	0	0	0.091	0	0	0	0	0	1	0	0	0	0	0	NA	0	0	0	0	0
Pancreas-Delta	chr1:168291243-168291461	U	0	0	0	0	0	0	0.001	0.046	0	0	0	0	0	0.003	0	0.042	0	0	0.004	0	0	0.004	0	0	0	0	0	0	0.01	0	0.02	0.333	0.911	0	0	0	0	0.003	0	0
Fallopian-Ep	chr1:169196092-169196821	U	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0	0	0	0.556	0.5	0	0	0	0	0	0	NA	0	0	0	0	0.2
Fallopian-Ep	chr1:172610104-172610247	U	0.028	0	0	0	0	0	0	0	0.008	0	0.011	0.116	0	0.019	0	0	0.962	0	0	0.004	0.007	0.166	0.003	0	0	0	0.005	0.105	0.056	0.313	0.027	0.057	0.075	0.221	0.25	0	0.012	0.004	0.006	0
Blood-B	chr1:181132269-181132559	U	0.004	0	0.893	0	0.019	0	0.001	0	0	0	0	0.104	0	0.016	0	0.062	0	0	0.002	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0
Pancreas-Delta	chr1:184109865-184110291	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0.219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0.875	0	0	0	0	0	0.13	0
Endothel	chr1:185367285-185367564	U	0.409	0	0	0	0.051	0.021	0	0.476	0	0	0.016	0.147	0.071	0.738	0	0.152	0	0	0	0.008	0.038	0.102	0.079	0.042	0	0	0.016	0	0.017	0.01	0.138	0.023	0	0	NA	0.029	0.163	0	0.097	0.016
Heart-Fibro	chr1:198268506-198268744	U	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.035	0	0.031	0	0	0	0	0.034	0.864	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0
Ovary-Ep	chr1:206062945-206063674	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.036	0	0	0.119	0	0	0.111	0.003	0	0	0	0	0.893	0	0	0	0	0	0	0	0	0	0	0
Breast-Basal-Ep	chr1:207762776-207763119	U	0	0.005	0	0	0	0	0.001	0	0.755	0.009	0	0	0	0	0	0.019	0	0	0	0.004	0	0.013	0	0.004	0	0	0.003	0	0	0	0	0.011	0	0	0	0	0	0	0.006	0
Blood-NK	chr1:214399018-214399161	U	0.008	0	0.006	0.022	0.103	0.905	0.05	0	0.009	0	0	0.012	0	0	0	0.128	0	0	0	0.002	0	0	0	0.008	0	0	0.003	0	0	0.006	0	0.012	0	0	0	0	0.011	0	0	0
Dermal-Fibro	chr1:221907261-221907493	U	0.245	0	0	0	0	0	0	0	0.014	0	0.012	0.036	0.846	0.048	0	0.247	0.033	0	0.009	0.017	0	0.035	0.035	0	0.009	0.011	0.013	0.071	0.121	0.056	0.076	0	0	0	0	0	0.106	0	0.147	0
Thyroid-Ep	chr1:226254707-226255135	U	0	0.025	0	0	0.002	0	0.001	0	0	0.02	0.003	0.01	0	0.005	0	0.023	0	0	0.002	0	0	0	0	0.003	0.015	0.005	0	0	0.006	0.005	0	0	0	0	0	0.004	0	0.004	0	0.898
Bone-Osteob	chr1:228360502-228360743	U	0	0	0	0	0	0	0	0.898	0	0	0.002	0.01	0	0	0	0.088	0	0	0.002	0.003	0.038	0.006	0	0	0	0	0	0	0	0.01	0.006	0	0	0	0	0	0.009	0	0.017	0
Neuron	chr1:229340917-229341189	U	0.003	0	0.004	0.004	0.005	0	0.01	0	0	0	0.002	0	0	0.001	0	0.009	0	0	0.001	0	0	0	0.003	0.002	0	0	0.819	0.028	0	0	0.02	0	0	0	0	0	0.008	0	0.003	0
Skeletal-Musc	chr1:229436524-229436676	U	0.014	0.127	0.007	0	0.01	0.01	0.001	0.062	0.008	0.011	0.046	0.038	0.091	0.035	0.114	0.093	0.028	0	0.026	0.043	0.023	0.008	0.057	0.038	0.052	0.028	0.012	0.014	0.008	0.091	0.031	0.019	0	0.023	0.143	0.047	0.548	0.031	0.027	0.017
Oligodend	chr1:229482423-229482762	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.052	0	0	0	0.005	0	0	0.008	0	0	0.008	0.035	0.929	0	0	0	0	0	0	0	0.009	0.046	0	0.027	0
Breast-Luminal-Ep	chr1:230172416-230172949	U	0	0	0	0	0	0	0	0	0.216	0.986	0.008	0	0	0.002	0	0.041	0	0	0	0.003	0	0	0	0	0	0	0	0	0.016	0.006	0	0	0	0	0	0	0.041	0.05	0.009	0
Pancreas-Delta	chr1:230257626-230257847	U	0.01	0	0	0	0.003	0	0	0	0	0.034	0.005	0	0	0	0	0.029	0	0	0.069	0.016	0	0	0	0	0.007	0.035	0.018	0	0.011	0.017	0	0.129	0.922	0	0	0.018	0	0.02	0	0
Head-Neck-Ep	chr1:232236912-232236923	U	0.009	0.006	0	0	0.004	0	0.004	0	0.026	0.232	0.007	0.011	0.029	0.02	0.213	0.129	0	0	0.004	0.917	0	0.038	0.006	0.008	0	0.184	0.003	0	0	0	0	0	0	0	0	0.01	0	0.004	0.025	0
Colon-Fibro	chr1:232287369-232287697	U	0.05	0.026	0.012	0	0.005	0	0.008	0	0	0	0.01	0	0	0.003	0.333	0.1	0	0	0.005	0.004	0	0.02	0.004	0	0	0.016	0	0	0	0	0	0	0.023	0	0	0	0.021	0	0.058	0
Breast-Basal-Ep	chr1:234393659-234393763	U	0	0	0	0	0	0	0	0	0.895	0.025	0	0	0	0	0	0.046	0	0	0.002	0.005	0	0.006	0	0	0	0	0.017	0.04	0	0.015	0	0	0	0	0	0.03	0	0	0	0
Breast-Basal-Ep	chr1:234732644-234732973	U	0.008	0	0	0	0	0	0	0	0.872	0.045	0	0	0.026	0	0.06	0.028	0	0.097	0	0.046	0	0.009	0.003	0	0	0	0	0	0	0.013	0	0	0	0	0	0	0.01	0.022	0	0
Heart-Fibro	chr1:235022949-235023062	U	0.151	0.007	0	0	0	0	0.002	0	0	0	0	0.061	0.098	0.064	0	0.142	0	0	0	0	0	0.67	0.036	0	0	0	0.032	0	0.087	0	0	0	0	0	0.167	0	0.137	0	0.071	0
Epid-Kerat	chr1:235880787-235880987	U	0.007	0.055	0	0.036	0.004	0	0.004	0	0.011	0.007	0.006	0	0	0.004	0.852	0.059	0.008	0	0.02	0.05	0.013	0	0	0	0.014	0.006	0.07	0	0	0.03	0.019	0.01	0.009	0.007	0	0.017	0	0.02	0	0
Lung-Ep-Alveo	chr1:244660421-244660516	U	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.005	0	0.014	0	0	0	0	0	0	0	0	0.879	0	0.029	0.006	0	0	0	0	0	0	0	0	0.013	0	0	0
Prostate-Ep	chr1:246488634-246488951	U	0	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	NA	0.474	0	0	0	0
Epid-Kerat	chr1:246796466-246796752	U	0	0	0	0	0.002	0	0.003	0.014	0	0.018	0.002	0	0.018	0.007	0.613	0.077	0	0	0.001	0	0.011	0.014	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0.016	0.018	0
Thyroid-Ep	chr2:1911980-1912071	U	0	0.012	0	0.007	0.004	0.017	0.001	0	0	0	0.003	0.011	0	0.001	0	0.091	0	0.026	0.002	0.004	0	0.056	0.003	0	0.05	0	0.009	0	0.024	0.006	0	0	0	0	0	0	0.011	0	0.022	0.976
Heart-Fibro	chr2:8267897-8268396	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
Blood-Granul	chr2:8895779-8896194	U	0.009	0	0	0.926	0.03	0	0.005	0	0	0	0.006	0.013	0	0.003	0	0.008	0	0	0.003	0.004	0	0.008	0	0.016	0	0	0	0.007	0	0.01	0	0	0	0.004	0.071	0	0.176	0.003	0	0
Epid-Kerat	chr2:15546684-15547680	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0.043	0	0	0	0
Fallopian-Ep	chr2:24957532-24958440	U	0.163	0.013	0	0	0.012	0	0	0	0	0	0.01	0	0	0.003	0	0.135	0.708	0	0	0	0	0	0	0	0.032	0	0	0	0.06	0.013	0.021	0	0	0	0	0.046	0	0	0.014	0
Small-Int-Ep	chr2:26282669-26283763	U	0	0	0.007	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0.014	0	0	0.001	0	0.007	0.004	0.002	0.002	0	0	0.002	0	0	0	0	0.007	0	0	0	0	0.013	0.582	0.006	0
Breast-Luminal-Ep	chr2:27210323-27210588	U	0.007	0.015	0.005	0.007	0.002	0	0.006	0	0.105	0.877	0.009	0.009	0	0.003	0	0.007	0.009	0	0.002	0.013	0.006	0	0.006	0.003	0	0.005	0.02	0	0	0	0.014	0.008	0	0	0	0.011	0.01	0	0	0
Blood-Granul	chr2:30444029-30444172	U	0	0	0	0.986	0.023	0	0.003	0	0	0	0.016	0	0	0.005	0	0.066	0	0	0	0.009	0	0.036	0	0.009	0.01	0	0	0	0	0.012	0	0	0	0	0	0	0.243	0	0.025	0
Blood-Granul	chr2:30712695-30712859	U	0	0	0	0.983	0.048	0	0.005	0	0	0	0	0	0	0	0	0.059	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0.029	0	0	0	0	0	0.238	0	0.021	0
Gastric-Ep	chr2:36891382-36892017	U	0	0	0	0	0.003	0	0	0	0	0	0.061	0	0	0	0	0.111	0	0	0.984	0.006	0	0	0	0	0	0	0.004	0.051	0	0	0	0	0	0	0	0	0	0	0.017	0
Thyroid-Ep	chr2:39031495-39031703	U	0	0.014	0	0	0	0	0.001	0.18	0	0	0	0.014	0	0	0	0.063	0	0	0	0	0.005	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0.005	0.987
Heart-Cardio	chr2:39253125-39253291	U	0.006	0.014	0	0	0	0	0	0	0	0	0	0.01	0	0.001	0	0.023	0	0	0.002	0	0.908	0	0.034	0.006	0	0	0.004	0	0	0	0	0	0	0	0	0.005	0	0	0	0
Bone-Osteob	chr2:39419466-39419944	U	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA
Blood-Granul	chr2:44163410-44163562	U	0.008	0	0	0.911	0.012	0	0	0	0.008	0	0	0.013	0	0.005	0	0.047	0.01	0	0	0	0	0.008	0	0.004	0.005	0	0.006	0	0	0	0	0	0	0	0	0	0.176	0.005	0	0
Bladder-Ep	chr2:48509219-48509630	U	0	0.963	0	0	0.018	0	0	0	0	0	0.059	0	0	0.06	0	0.067	0	0	0	0.115	0	0.087	0	0	0	0.071	0	0	0	0	0	0	0	0	0	0.25	0	0.059	0	0
Megakaryocytes	chr2:49229752-49229816	U	0.063	0.016	0.011	0	0.01	0	0.003	0	0	0.019	0.018	0	0	0.011	0	0.086	0.015	0	0.008	0.015	0.006	0.029	0.009	0.028	0.017	0.016	0.01	0	0.007	0.011	0	0.01	0	0	0.903	0	0	0.013	0.041	0.007
Neuron	chr2:51026934-51027176	U	0	0	0.011	0	0	0.008	0.001	0	0	0	0	0.16	0	0.008	0	0.109	0	0	0.008	0	0	0.048	0	0	0	0	0.833	0.227	0	0	0	0	0	0	0	0	0	0.005	0.056	0
Breast-Luminal-Ep	chr2:61244373-61244609	U	0	0	0	0	0	0	0.003	0	0.05	0.642	0	0.012	0	0	0	0.007	0	0	0.002	0	0	0.008	0	0	0.028	0.012	0.003	0	0	0	0	0	0	0.008	0	0	0	0	0	0
Lung-Ep-Bron	chr2:61803465-61803769	U	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.076	0.007	0	0.007	0.026	0	0.009	0	0	0.155	0.826	0	0	0.008	0.006	0	0.011	0	0	0.125	0.123	0	0	0.025	0
Blood-Mono+Macro	chr2:64754165-64754279	U	0.069	0.008	0.028	0.122	0.795	0	0.005	0.023	0.011	0.034	0.007	0.05	0	0.009	0.043	0.095	0	0	0.015	0	0.008	0.025	0.008	0.026	0	0	0.01	0.026	0	0.038	0	0.014	0	0	0	0	0.068	0.006	0	0.012
