target	hg19	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
Lung-Ep-Alveo	chr1:1547176-1547251	U	0.031	0.007	0	0	0.003	0	0	0	0	0	0.008	0.013	0	0.009	0.026	0.048	0	0.043	0	0.041	0	0.019	0	0	0.963	0.087	0	0	0	0	0	0	0	0	0	0	0.02	0.02	0.071	0.078
Heart-Cardio	chr1:1560430-1560532	U	0.008	0	0.021	0	0.003	0.012	0.016	0.029	0	0.013	0	0.027	0	0.017	0	0.062	0	0	0	0.011	0.869	0.028	0	0	0	0	0.027	0.008	0	0	0	0	0	0	0	0	0	0	0.033	0
Heart-Cardio	chr1:1560960-1561055	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.04	0	0	0	0	0.89	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pancreas-Acinar	chr1:1595935-1596277	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.982	0	0	0	0	0	0	0	0.021	0	0
Liver-Hep	chr1:1700329-1700815	U	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0.002	0	0.046	0	0	0	0	0	0	0	0.832	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0
Thyroid-Ep	chr1:1717284-1717823	U	0	0.026	0	0.011	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.008	0	0	0	0	0.006	0	0	0.008	0	0	0	0	0	0	0	0	0	0.991
Neuron	chr1:1951709-1951898	U	0.112	0.071	0.023	0	0.008	0.019	0.018	0.091	0.05	0.107	0.097	0.191	0.15	0.046	0.08	0.356	0.033	0	0.023	0.078	0.048	0.11	0.035	0.025	0.038	0.083	0.742	0.278	0.066	0.07	0.031	0	0	0.044	0	0.091	0.098	0.109	0.114	0.061
Lung-Ep-Alveo	chr1:1983574-1983759	U	0.078	0	0	0	0.005	0	0	0.024	0	0	0.008	0.037	0.067	0.042	0.087	0.069	0	0.04	0	0.01	0.013	0.016	0.004	0	0.788	0.058	0.003	0	0	0	0	0	0	0	0	0	0.047	0.043	0.019	0.011
Neuron	chr1:2007324-2007948	U	0.012	0.004	0.004	0	0	0.006	0.002	0.089	0	0	0	0.008	0.015	0.013	0.016	0.158	0.006	0	0	0.001	0	0.044	0	0	0	0	0.648	0.07	0	0.004	0	0	0	0	0	0	0.029	0	0.063	0
Neuron	chr1:2191268-2191434	U	0.071	0	0	0	0.002	0	0	0.031	0.008	0	0	0.078	0.114	0.021	0.033	0.023	0	0	0.002	0.004	0.16	0.007	0.02	0.004	0	0	0.83	0.262	0	0.007	0.482	0.426	0.333	0	0	0	0.035	0	0.023	0.05
Neuron	chr1:2240841-2241062	U	0.037	0	0	0.067	0	0	0.024	0	0.067	0	0	0	0	0.009	0	0.097	0	0	0	0.014	0	0	0	0	0	0	0.642	0	0	0.042	0	0	0	0	NA	0	0	0	0	0
Neuron	chr1:2315599-2316184	U	0.004	0	0.014	0	0	0	0.002	0	0	0	0	0.013	0	0.01	0	0.066	0.005	0	0	0.001	0	0	0	0.007	0.003	0	0.726	0.043	0	0.02	0	0	0	0	0	0	0.008	0	0.004	0
Epid-Kerat	chr1:2522399-2522847	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727	0.006	0	0.083	0	0.022	0	0	0	0	0	0	0.007	0	0.007	0	0	0	0	0	0	0	0	0	0.005	0
Blood-T	chr1:2949671-2949807	U	0.007	0	0.024	0	0.047	0.076	0.689	0	0	0.012	0.019	0.082	0	0.006	0	0.14	0	0	0	0.025	0	0.009	0.003	0.005	0	0.017	0	0.009	0.019	0.014	0	0	0	0	0	0	0	0.007	0.014	0
Pancreas-Duct	chr1:2954308-2954394	U	0.008	0	0	0.011	0.003	0	0.005	0.028	0.018	0.041	0.022	0.019	0.029	0.008	0	0.211	0.033	0	0	0.011	0	0.092	0.022	0.045	0.007	0	0.03	0	0.04	0.1	0.167	0.143	0.045	0.729	0	0	0.016	0.104	0.107	0
Pancreas-Beta	chr1:3182541-3182737	U	0.068	0.077	0	0	0.003	0	0	0	0.048	0.037	0.005	0.077	0.034	0.05	0.036	0.052	0.139	0	0	0.041	0.007	0.032	0.012	0.005	0	0	0.015	0	0.3	0	0.327	0.956	0.078	0	0	0.046	0.029	0	0.282	0
Ovary-Ep	chr1:3182822-3182986	U	0.006	0	0	0	0	0	0	0	0.008	0.008	0	0	0	0.008	0	0.063	0.44	0	0	0.004	0.006	0.047	0.022	0	0	0	0.069	0.006	0.7	0.015	0	0.23	0	0	0	0	0	0	0.049	0
Pancreas-Duct	chr1:3196489-3196578	U	0.261	0.027	0	0	0.02	0	0.015	0.048	0.038	0.116	0.007	0.175	0.2	0.072	0.059	0.255	0.022	0.524	0.005	0.12	0.013	0.247	0.027	0.088	0.021	0.028	0	0	0.14	0.037	0	0.02	0	0.969	0	0	0.068	0	0.1	0
Small-Int-Ep	chr1:3210411-3210462	U	0.009	0.036	0.011	0.027	0.006	0	0.023	0	0.065	0.178	0.015	0.067	0.036	0.107	0.037	0.224	0	0	0	0.147	0	0.01	0.121	0.076	0	0.063	0.006	0.009	0.07	0.011	0.12	0.021	0	0	0	0.264	0.057	0.941	0.075	0
Blood-NK	chr1:3278151-3278636	U	0.014	0.003	0.016	0.015	0.016	0.491	0.08	0	0.005	0.022	0	0.036	0	0.011	0	0.143	0	0	0.004	0.012	0.004	0.013	0.012	0.028	0	0	0.042	0.012	0.012	0	0.01	0.005	0	0	0	0.003	0.018	0	0.031	0.033
Blood-B	chr1:3496959-3497162	U	0.051	0	0.925	0	0.057	0	0	0.231	0.206	0.118	0.089	0.28	0.158	0.029	0.143	0.136	0.042	0	0.009	0.022	0.047	0.021	0	0	0	0	0	0	0.028	0.075	0	0.036	0.028	0	NA	0	0.125	0.085	0.057	0
Blood-Granul	chr1:3519190-3519563	U	0.02	0.005	0.016	0.868	0.151	0	0.02	0.017	0	0.02	0.01	0.034	0.017	0.001	0	0.104	0	0	0.003	0.007	0	0.01	0.004	0.008	0.119	0	0	0	0	0.047	0.013	0	0	0	0	0	0.103	0.004	0.016	0
Blood-Granul	chr1:3563696-3563874	U	0.007	0.007	0	0.909	0.018	0.041	0.004	0.056	0	0	0	0.01	0	0.004	0	0.1	0	0	0	0.012	0.008	0.02	0	0.004	0.006	0.007	0	0	0	0	0.01	0	0	0	0.077	0	0.13	0	0.015	0
Neuron	chr1:3695942-3696334	U	0.006	0	0	0	0.001	0	0.001	0.025	0.004	0	0	0	0.035	0.001	0	0.01	0	0	0	0.001	0.003	0.003	0	0	0.002	0	0.643	0.024	0	0.003	0	0	0	0	0	0.003	0.086	0	0.024	0
Oligodend	chr1:3751216-3751634	U	0	0	0	0	0.002	0	0	0	0	0	0	0.007	0.029	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0.046	0.727	0	0.005	0	0	0	0	0	0	0	0	0.008	0
Blood-Mono+Macro	chr1:3759631-3760019	U	0.068	0.008	0.286	0.21	0.639	0.01	0.003	0	0	0	0	0.051	0	0.013	0	0.108	0.01	0	0.003	0	0.009	0	0.004	0.028	0	0	0.009	0	0	0	0	0	0	0	0	0	0.088	0	0.007	0
Megakaryocytes	chr1:3796984-3797428	U	0.005	0	0.039	0.263	0.194	0.041	0.003	0	0	0	0	0.014	0	0.001	0	0.417	0	0	0.002	0.001	0	0	0	0.008	0	0	0.002	0	0	0.005	0	0	0	0	0.714	0	0.072	0	0	0
Pancreas-Beta	chr1:4285115-4285206	U	0.039	0	0	0	0	0	0.004	0.125	0	0	0.042	0	0.043	0.01	0.042	0.221	0	0	0.007	0.007	0.011	0.141	0.233	0.005	0.014	0	0.012	0	0.032	0.06	0.5	0.907	0.244	0.012	0	0.037	0.231	0.008	0.073	0
Smooth-Musc	chr1:4329526-4329592	U	0.338	0.161	0.024	0	0.034	0.012	0.016	0.209	0	0	0	0.115	0.371	0.134	0.032	0.342	0.038	0	0.018	0.007	0.04	0.197	0.02	0.004	0.014	0	0.075	0	0.062	0.024	0.165	0.011	0	0	0	0.032	0.184	0	0.602	0
Pancreas-Alpha	chr1:4914429-4914661	U	0	0	0	0	0	0	0.022	0	0	0	0.026	0.3	0	0.034	0	0.3	0	0	0	0	0	0.6	0	0	0	0	0.022	0	0	0.045	1	0.75	0.308	0	0	0	0	0	0.304	0
Breast-Luminal-Ep	chr1:5036178-5036242	U	0.015	0.178	0	0	0.005	0.011	0.003	0.036	0.236	0.576	0	0	0.031	0.018	0.355	0.181	0.019	0	0.027	0.058	0.017	0.205	0	0.02	0.013	0	0	0	0.02	0.008	0.054	0.029	0.012	0.025	0	0.024	0.012	0	0.098	0.011
Skeletal-Musc	chr1:5678035-5678093	U	0	0	0.013	0	0.007	0	0.014	0	0	0	0	0	0.29	0.03	0	0.143	0	0	0.025	0.004	0	0.046	0.096	0.019	0	0	0.051	0.013	0.032	0.048	0.016	0	0	0	0	0.012	0.667	0	0.259	0
Ovary-Ep	chr1:5874824-5875031	U	0.014	0.042	0.036	0	0.004	0	0.002	0.045	0.085	0.093	0.006	0.019	0	0.004	0	0.192	0.129	0	0.014	0.018	0.012	0.041	0.324	0.005	0	0	0.009	0.01	0.595	0.01	0	0.015	0	0	0	0	0.141	0	0.127	0.259
Thyroid-Ep	chr1:5894875-5894945	U	0.086	0.028	0	0	0	0	0	0	0.014	0.018	0.011	0	0	0.007	0	0.093	0	0	0.014	0.003	0	0.026	0.01	0.037	0.031	0	0.012	0	0	0.037	0	0.03	0.021	0.085	0	0.031	0.051	0.019	0.058	0.852
Kidney-Ep	chr1:5902819-5902963	U	0.01	0	0	0.011	0.012	0.017	0.006	0.1	0.035	0.013	0	0.056	0.04	0.028	0.059	0.184	0.085	0	0.006	0.011	0	0.061	0.88	0.014	0.026	0	0	0	0	0.074	0	0	0.015	0.02	0	0.008	0.068	0.008	0.085	0
Pancreas-Acinar	chr1:5982741-5982922	U	0.103	0	0	0	0	0	0.001	0	0	0	0	0	0.059	0.008	0	0.031	0	0	0	0	0	0.087	0	0	0	0	0.01	0	0	0.91	0	0	0	0.025	0	0	0.01	0	0.059	0
Breast-Basal-Ep	chr1:6008175-6008578	U	0.168	0	0	0	0	0	0	0	0.712	0.014	0	0	0	0.002	0.051	0.104	0	0	0.002	0.041	0	0.006	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0.004	0.008	0
Epid-Kerat	chr1:6010708-6010978	U	0.043	0	0.062	0	0	0.048	0.005	0.056	0	0	0	0.05	0	0	1	0.108	0	0	0	0.027	0	0.036	0	0	0	0	0	0	0	0.029	0	0.045	0	0	0	0	0	0	0	0
Pancreas-Delta	chr1:6019318-6019395	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.053	0	0	0.006	0.003	0	0	0.004	0.26	0	0	0.006	0	0	0	0	0.012	0.864	0	0	0	0	0	0	0
Blood-Granul	chr1:6035727-6035846	U	0.051	0	0.079	1	0.311	0.103	0.088	0	0	0	0.006	0.096	0	0.002	0.038	0.085	0	0	0	0	0	0.011	0	0.013	0	0	0.216	0	0	0	0	0	0	0	0.4	0	0.227	0	0	0
Blood-Granul	chr1:6100977-6101098	U	0.154	0	0	0.852	0.11	0	0	0.059	0	0	0.004	0.013	0.079	0.028	0	0.144	0	0	0.014	0.005	0.008	0.019	0.008	0.025	0	0	0.014	0	0.009	0.034	0	0	0	0.009	0	0	0.097	0	0.036	0
Blood-Mono+Macro	chr1:6116351-6116401	U	0.118	0	0	0.011	0.796	0	0.002	0	0	0	0.021	0.029	0	0.002	0	0.107	0	0	0.004	0	0.017	0.009	0.004	0.028	0	0	0.004	0.011	0.092	0.017	0	0	0	0	0	0	0	0	0.014	0
Blood-Mono+Macro	chr1:6116603-6116830	U	0.159	0.018	0	0.118	0.839	0	0	0.083	0	0	0	0.019	0.031	0.007	0	0.172	0	0	0.027	0.01	0.032	0.055	0	0.035	0.009	0	0.032	0	0	0.043	0	0	0	0.014	0	0	0.018	0	0.065	0
Epid-Kerat	chr1:6220589-6220709	U	0.055	0.102	0	0	0	0	0.002	0.065	0	0	0	0.024	0.03	0.03	0.931	0.296	0.041	0	0.019	0.095	0.024	0.071	0.017	0.017	0.053	0.024	0.136	0.022	0.044	0.017	0	0	0.015	0.021	0	0.02	0.04	0	0.154	0.047
Heart-Cardio	chr1:6293341-6293431	U	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0.017	0	0	0	0	0.823	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0.278	0	0	0
Pancreas-Delta	chr1:6329539-6329695	U	0	0	0.009	0.01	0	0	0	0	0	0.023	0.089	0.023	0.061	0.008	0	0.029	0.426	0	0.009	0	0	0	0.123	0.005	0.006	0	0.013	0	0.049	0.008	0.01	0.013	0.884	0.009	0	0	0	0.057	0	0
Bladder-Ep	chr1:6377471-6377733	U	0.019	0.832	0	0	0.017	0	0	0.125	0	0	0	0.378	0.054	0.104	0	0.108	0.037	0	0.117	0.058	0	0.276	0.01	0	0.006	0.02	0.027	0	0.06	0.006	0.076	0.026	0.048	0.008	0	0.113	0.043	0.006	0.159	0
Pancreas-Delta	chr1:6702953-6703298	U	0.011	0	0	0	0.003	0	0	0	0	0	0.046	0.032	0	0.04	0	0.067	0	0	0.016	0.006	0	0.01	0.005	0	0.009	0	0	0	0	0	0.071	0.035	0.629	0	0	0	0	0.072	0.008	0
Kidney-Ep	chr1:6750284-6750650	U	0	0	0	0	0.004	0	0	0	0.097	0.02	0	0	0	0.002	0	0.015	0.189	0	0	0.004	0	0	0.897	0	0.009	0	0	0	0.038	0	0.02	0	0	0	0	0.091	0	0	0	0.038
Fallopian-Ep	chr1:6938724-6938836	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0.002	0	0.046	0.694	0	0	0.003	0	0.017	0.044	0	0	0	0.069	0	0.126	0	0	0	0	0	0.167	0	0	0	0	0
Pancreas-Alpha	chr1:6956091-6956658	U	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0.155	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0.008	0.864	0.2	0	0.012	0	0	0	0	0.008	0
Prostate-Ep	chr1:6977718-6977906	U	0	0	0	0.083	0	0	0	0	0.333	0	0.381	0	0	0	0.25	0.25	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0.7	0	0	0.091	0
Heart-Fibro	chr1:7009315-7009624	U	0.021	0.025	0.036	0.006	0.011	0.023	0.042	0.02	0	0.007	0	0.047	0.047	0.063	0.043	0.238	0	0	0.048	0.041	0.01	0.641	0.002	0	0.161	0.005	0.035	0.005	0	0.039	0.007	0	0.018	0	0	0	0	0	0.102	0.204
Heart-Fibro	chr1:7293815-7293908	U	0.14	0.029	0.023	0	0.015	0.016	0.034	0.037	0.012	0	0	0.021	0.087	0.032	0	0.297	0	0	0.012	0.102	0.022	0.429	0	0	0.06	0.018	0	0	0	0.066	0	0	0	0.021	0	0	0.094	0.009	0.137	0
Small-Int-Ep	chr1:7739607-7739847	U	0.017	0	0	0	0.004	0	0	0	0	0.015	0.023	0.018	0	0.011	0	0.158	0	0	0	0	0	0	0	0	0	0	0.086	0	0	0	0	0	0	0	NA	0	0	0.871	0.017	0
Dermal-Fibro	chr1:7803405-7803759	U	0.51	0	0.058	0	0.01	0.021	0.014	0.261	0	0	0	0.079	0.92	0.068	0	0.211	0	0	0	0.009	0	0.088	0	0	0.011	0.014	0.331	0.016	0	0.03	0	0	0	0.029	0	0	0.02	0	0.106	0.34
Liver-Hep	chr1:8019114-8019208	U	0.119	0	0	0	0.005	0	0	0.111	0	0	0	0	0	0.009	0	0.043	0	0	0.005	0	0	0.018	0	0.865	0	0	0	0	0	0	0	0	0	0	0	0	0.022	0	0	0
Breast-Luminal-Ep	chr1:8043301-8043852	U	0	0	0	0	0.001	0	0	0	0.04	0.65	0	0	0	0.002	0	0.058	0.01	0	0.001	0.002	0.013	0	0.028	0.421	0	0.004	0.013	0	0.029	0.094	0	0	0	0	0	0.006	0.059	0	0	0
Lung-Ep-Bron	chr1:8051177-8051743	U	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.035	0	0	0.002	0	0	0.903	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0.114
Lung-Ep-Bron	chr1:8192696-8193169	U	0	0.022	0.004	0	0.008	0	0.003	0.015	0.027	0.012	0	0.013	0	0.002	0.014	0.153	0	0	0	0.137	0	0.004	0.002	0	0.305	0.73	0	0	0	0	0	0	0	0	0	0.039	0.009	0	0	0.033
Blood-T	chr1:8212967-8213183	U	0.016	0.013	0.017	0	0.044	0.382	0.903	0	0	0	0	0.071	0	0	0.021	0.145	0	0	0.002	0	0	0.006	0.011	0.013	0	0	0	0	0	0	0	0	0	0	0.071	0	0.013	0	0.01	0
Colon-Ep	chr1:9109007-9109633	U	0	0	0.004	0	0.01	0	0.002	0	0	0	0.963	0.009	0	0	0	0.106	0	0	0.009	0	0	0.027	0.002	0	0.095	0	0	0	0	0	0	0	0	0	0	0.06	0	0.206	0.014	0.028
Blood-T	chr1:9251303-9251482	U	0.035	0	0	0	0.015	0.152	0.627	0	0	0	0	0.023	0.25	0.026	0	0.172	0	0	0	0	0	0.015	0.208	0.012	0.008	0	0	0	0	0.047	0	0	0	0	0	0	0.32	0	0	0
Blood-T	chr1:9252942-9253192	U	0.053	0	0.327	0.038	0.069	0.538	0.742	0.385	0.069	0.148	0	0.08	0.154	0.088	0	0.306	0.054	0	0.018	0.077	0.083	0.073	0.033	0	0.02	0.073	0.103	0.034	0	0.227	0	0.08	0.033	0	NA	0.06	0.211	0.02	0.302	0.032
Thyroid-Ep	chr1:9373886-9374190	U	0	0.007	0	0	0	0	0.003	0	0	0	0	0	0	0.001	0	0.114	0	0	0	0.004	0	0	0	0	0	0	0.002	0	0.007	0	0	0	0	0.008	0	0	0.011	0	0	0.948
Head-Neck-Ep	chr1:9426821-9427135	U	0	0.01	0	0	0	0.015	0.005	0	0	0	0	0	0	0.004	0.269	0.134	0	0	0	0.847	0	0	0	0	0	0.577	0.019	0	0	0	0	0	0	0	0	0.071	0	0	0	0
Megakaryocytes	chr1:9509791-9510066	U	0	0	0.013	0	0	0.016	0.011	0	0.017	0	0	0	0.038	0	0.385	0.338	0	0	0.004	0.042	0.034	0	0.005	0	0.012	0	0	0	0	0.01	0	0	0	0	1	0.023	0.147	0	0.008	0
Liver-Hep	chr1:9614272-9614521	U	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0.001	0	0.074	0	0	0	0.002	0	0	0.003	0.969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0
Blood-Mono+Macro	chr1:9693646-9693806	U	0.347	0	0.014	0.071	0.723	0	0.009	0.136	0	0	0	0	0.188	0.069	0	0.19	0	0	0.006	0.004	0.031	0.104	0.007	0.022	0.009	0	0.021	0.018	0.015	0	0	0	0	0	0	0.01	0.225	0.021	0.086	0.016
Bone-Osteob	chr1:9723048-9723257	U	0.023	0.009	0.143	0	0.017	0.159	0.004	0.969	0	0.018	0.054	0.034	0.036	0.057	0	0.123	0	0.05	0.056	0	0.013	0.21	0.011	0.012	0.008	0	0.019	0.028	0.092	0.126	0.022	0.013	0.038	0.053	0	0	0.118	0.045	0.107	0.037
Neuron	chr1:9912213-9912434	U	0.019	0	0	0.022	0.006	0	0.003	0	0.05	0	0	0	0	0.003	0.385	0.157	0.018	0	0	0.02	0	0.327	0	0	0	0	0.879	0.029	0.051	0	0.037	0.027	0.135	0	0	0	0.033	0	0.08	0
Oligodend	chr1:10173410-10173952	U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0.002	0	0.004	0	0.065	0.851	0	0	0	0	0	0	0	0	0.053	0	0	0
Blood-Granul	chr1:10211350-10211689	U	0	0	0	1	0.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0
Blood-Granul	chr1:10310276-10310554	U	0.018	0	0	0.902	0.013	0	0.003	0	0	0	0	0.029	0	0.002	0	0.171	0	0	0	0.002	0	0	0.008	0	0	0	0.006	0	0	0.015	0	0	0	0	0	0	0.132	0	0.006	0
Heart-Cardio	chr1:10421667-10422105	U	0	0	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0.127	0	0	0	0.006	0.938	0.022	0	0	0	0	0.011	0	0	0	0	0.012	0	0	0	0	0	0	0.006	0
Thyroid-Ep	chr1:10441602-10442072	U	0.012	0.014	0	0.085	0.011	0	0.002	0	0	0	0	0	0	0	0	0.172	0	0	0	0.01	0	0.017	0	0	0	0	0.182	0.01	0	0	0	0	0	0	0	0	0	0	0.007	0.985
Head-Neck-Ep	chr1:10446857-10446955	U	0	0.271	0	0	0	0	0.002	0	0.01	0.203	0	0	0	0	0.724	0.087	0	0	0.011	0.948	0	0	0	0	0.227	0.402	0	0	0	0	0	0	0	0	0	0.06	0	0	0.007	0
Blood-Granul	chr1:10450842-10451653	U	0.022	0	0	0.902	0.105	0	0.004	0	0	0	0.003	0.022	0	0	0	0.13	0	0	0	0.002	0	0	0	0	0.015	0	0.005	0	0.006	0.007	0	0	0	0	0	0	0.193	0	0.01	0.008
Pancreas-Beta	chr1:10573884-10574070	U	0	0	0	0	0	0	0	0	0	0.02	0.007	0	0	0.003	0	0.075	0	0.158	0.013	0	0	0	0.048	0	0	0	0.007	0	0.016	0	0.141	0.957	0.233	0.04	0	0	0	0.042	0	0
Blood-NK	chr1:10585743-10585973	U	0.005	0	0.004	0	0.003	0.735	0.064	0.016	0	0	0	0.008	0	0	0	0.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0
Thyroid-Ep	chr1:10681156-10681324	U	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.079	0	0	0.005	0.062	0	0	0	0	0.027	0.026	0.051	0.015	0	0.115	0	0	0.021	0.017	0	0	0.021	0	0.009	1
Lung-Ep-Bron	chr1:10702185-10702373	U	0.262	0	0	0	0	0	0	0.333	0	0.038	0	0.042	0.083	0.123	0	0.074	0.1	0	0	0.008	0.085	0.152	0.011	0	0.047	0.8	0.07	0	0.027	0	0	0	0	0	0	0.209	0	0	0.056	0
Lung-Ep-Bron	chr1:10702506-10702797	U	0.033	0	0	0.009	0	0	0	0	0.114	0.043	0	0.014	0	0.058	0	0.096	0.167	0.216	0.005	0.004	0	0.028	0.047	0	0.061	0.777	0.061	0	0.008	0	0	0	0	0	0	0.163	0.014	0	0.013	0
Blood-Mono+Macro	chr1:10706307-10706383	U	0.104	0.007	0.008	0.432	0.609	0.011	0.007	0.3	0	0	0	0.027	0	0.011	0	0.133	0	0	0	0	0	0	0.004	0.013	0	0	0.009	0.014	0	0	0.011	0	0	0	0.455	0	0.145	0	0.006	0
Heart-Fibro	chr1:10761549-10761755	U	0.118	0.009	0.012	0	0	0	0.01	0.345	0	0	0.005	0.065	0.067	0.127	0	0.319	0.426	0	0.028	0.019	0.066	0.898	0.036	0	0	0.011	0.021	0.028	0.136	0	0	0	0	0	0	0.01	0.047	0	0.315	0.014
Heart-Cardio	chr1:10766629-10766836	U	0.005	0	0	0	0.004	0	0	0	0	0	0.003	0	0	0	0	0.081	0	0	0	0	0.957	0.026	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0
Small-Int-Ep	chr1:10879174-10879619	U	0	0.01	0	0	0.004	0	0.012	0	0	0	0.207	0.018	0.031	0.002	0.053	0.158	0	0	0	0.041	0	0.045	0	0	0	0.043	0.004	0	0	0	0	0	0	0	0	0.038	0	0.971	0.03	0
